ANO,CAMPEÃO
1960,Real Madrid
1961,Peñarol
1962,Santos
1963,Santos
1964,Inter de Milão
1965,Inter de Milão
1966,Peñarol
1967,Racing
1968,Estudiantes
1969,Milan
1970,Feyenoord
1971,Nacional
1972,Ajax
1973,Independiente
1974,Atlético de Madrid
1976,Bayern de Munique
1977,Boca Juniors
1979,Olimpia
1980,Nacional
1981,Flamengo
1982,Peñarol
1983,Grêmio
1984,Independiente
1985,Juventus
1986,River Plate
1987,Porto
1988,Nacional
1989,Milan
1990,Milan
1991,Estrela Vermelha
1992,São Paulo
1993,São Paulo
1994,Vélez Sárfield
1995,Ajax
1996,Juventus
1997,Borussia Dortmund
1998,Real Madrid
1999,Manchester United
2000,Boca Juniors
2000,Corinthians
2001,Bayern de Munique
2002,Real Madrid
2003,Boca Juniors
2004,Porto
2005,São Paulo
2006,Internacional
2007,Milan
2008,Manchester United
2009,Barcelona
2010,Inter de Milão
2011,Barcelona
2012,Corinthians
2013,Bayern de Munique
2014,Real Madrid
2015,Barcelona
2016,Real Madrid
2017,Real Madrid
2018,Real Madrid
2019,Liverpool
2020,Bayern de Munique
2021,Chelsea
